Player Name,Link,Analysis,Strengths,Weaknesses,College,Pick,Position,Team,Year
Melvin Gordon,https://www.nfl.com/prospects/melvin-gordon/3200474f-5227-5321-5a9f-5d54a292e030,"Angular, talented open-field runner who combines outstanding burst with a long stride to gain separation and hit the home run. He won't be able to outrun NFL defenders like he did in college and must develop more feel between the tackles. Gordon shines when his track runs over tackle or around the end and can put a defense to sleep around the corner. Not trustworthy enough to be a three-down back, but his pass-catching improved enough to utilize him out of backfield as a receiver.","Tall, leggy running back with shredded physique. Transitions run from inside to outside without losing any speed. Can cover five yards in two strides when fully unlocked in open field. Impressive 20-yard burst, creating space to hit the big runs. Averaged 7.6 yards per carry over last two seasons. Had 40 runs for 15-plus yards in 2014. Shifty in open field without having to hesitate. Uses jump-cut at line of scrimmage to change gaps and avoid tacklers. Has an effective spin move to make defenders miss in open field. Great agility and plus balance hurdling opponents diving at his legs. Feet keep moving in tight spaces, probing for daylight. Able to consistently beat college defenders to flank. Loves to run over the tackles. Shows ability to create for himself and has burst and agility to turn small gain into big one. Improved as a pass-catcher over second half of the 2014 season.","Desires to bounce runs wide too often. Not as trusting of blocking from B-gap to B-gap. Held to ""stuffs"" -- runs resulting in no yards or a loss -- on 19.2 percent of his carries. Feel and instincts as interior runner need improvement. Shows indecisiveness as one-cut runner. Would gear down and stutter-step to line, waiting for crease to show itself rather than adjusting on fly and taking what was available. Play strength through hole was only average. Used speed over strength to create many missed or broken tackles. Benefited from gaping running lanes. Ball security was an issue. Fumbled six times over his final five games, often being stripped while finishing run. Uncomfortable pass-catcher with marginal hands. Either dropped, double caught or smothered many throws. Pass protection needs work. Might have to come off field on third downs.",WISCONSIN,15,RB,Los Angeles Chargers,2015
Todd Gurley,https://www.nfl.com/prospects/todd-gurley/32004755-5200-0000-f496-e727c8f2225d,"The rehab work and NFL Scouting Combine medicals will be extremely important for Gurley's draft stock as teams assess his potential durability as an NFL running back. He played less than 40 percent of his team's offensive snaps over the last three years, so there is plenty of tread still on the tires. Has the talent to be a top-five NFL running back, but ACL tear clouds the short-term picture.","Rare blend of speed and power. Immense power in legs and shows balance through contact. Shreds arm tackles and has speed to house it. Very hard to tackle on an angle. Professional, decisive runner. Presses line of scrimmage to set up his cut-back runs. Gets downhill with knee bend and forward lean, staying small through the hole. Uses quick, tight steps to second level. Will sink and explode into tackler or side-step and jet, causing hesitation in downhill safeties with their approach. Converts ""speed to power"" between tackles and around corner. Rarely looks to run out of bounds and finishes his runs. Able to factor out of the backfield with soft hands and ability to adjust to throws. In 2014, churned out an amazing 61.9 percent of his rushing yardage after contact. Strong hands and carries ball tight to his body. Only three fumbles in 510 carries.",Missed three games in 2013 due to ankle injury and tore his ACL in 2014. Questions about whether he'll return back to his play speed are a big concern. Vision is average. Still gaining feel as a zone runner. Too locked into looking for cutback lanes when play-side run is open. Can get better at setting up blockers in space. Average creativity in tight quarters. Patience and tempo as a runner can improve. Quick passing attack limited his protection opportunities but was very average when given the shot.,GEORGIA,10,RB,Los Angeles Rams,2015
Tevin Coleman,https://www.nfl.com/prospects/tevin-coleman/3200434f-4c35-9050-eb7e-20c726e53f5b,"His violent running style is a joy to watch, but might have to be tempered to extend his career. He is a ""race car in the red"" on just about every snap and refuses to give in, which leads to many big runs. Zone, gap, power ... it doesn't really matter because Coleman can fit all schemes. Has the burst and top-end speed to be a game-changing running back for a team looking for a workhorse.","Decisive north-south runner. Outstanding three-step burst into second level. Fearless between the tackles. Has dangerous jump-cut to instantly change gaps and ruin the plans of linebackers. Stays square to the line and is always in ready position to hit turbo. Fluid and flexible lower body with elite one-cut ability and natural change-of-direction talent without gearing down. Power in legs to slice through arm tackles and uses free hand as quality stiff-arm. Violent run finisher. Will duck shoulder and throw heavy forearm into tackler to prove a point. Not a content runner -- keeps feet moving after contact and won't give in. Capable hands out of backfield and willing to square up and engage pass rushers on pass plays. Hits top speed so quickly that safeties and linebackers repeatedly take poor angles, leading to long touchdowns. Half of his 28 career rushing touchdowns were of 43-plus yards, including eight of 64-plus yards.","Treats every carry like a sprint. Must improve run tempo and patience on stretch plays. Has to learn when to keep run play-side and improve patience so he allows back-side cutback lanes to develop. Can improve out of backfield. Wasn't always in position to scan defense on screen passes, resulting in lost yardage. Pad level often a little high into contact.",INDIANA,73,RB,Atlanta Falcons,2015
Ameer Abdullah,https://www.nfl.com/prospects/ameer-abdullah/32004142-4464-7726-b649-e09413abd27c,"Despite having first-round talent, Abdullah's lack of preferred NFL size and issues with ball security might cause some teams to shy away from him in the opening round. Abdullah has explosive potential as a runner and ball-catcher and is a natural zone-scheme fit. His high character will make him a hit during interview process.",Decisive runner with good lower-body drive and a willingness to run behind his pads. Finishes his runs. Has NFL-caliber burst and can hit top speed quickly. Defenses must respect his ability to turn the corner on play-side. Patient runner with plus vision. Willing to seek out cutback lanes. Rarely dances to the line or makes unnecessary lateral moves. Isn't a predictable runner. Lacks blazing top-end speed but plays fast. Highly competitive with a high football IQ. Hasn't dropped a pass in two years and can be a valuable weapon in passing attack. Will make arm tacklers pay and is better in short yardage than most backs his size. Can help immediately as a punt or kick returner. Personal and football character is considered off-the-charts by the scouting community.,Lacks ideal size that teams look for from a three-down running back. Frame is close to maxed out. Doesn't always go through his pass routes at full speed. Smallish frame causes some issues in pass protection. Tenacity in protection needs to improve. Ball security is a legitimate concern with 13 fumbles over his four years at Nebraska.,NEBRASKA,54,RB,Detroit Lions,2015
Jay Ajayi,https://www.nfl.com/prospects/jay-ajayi/3200414a-4177-1256-2431-b2af057c0b9d,"While the comparison to Marshawn Lynch might be a little much considering Lynch's exploits in the NFL, Ajayi's running style and body type are very similar to Lynch's and Ajayi features an improving stiff arm and physicality that has become Lynch's calling card. Ajayi has the ability to play all three downs while mashing in short yardage and near the goal line. Scouts have been quietly circling Ajayi as a second-tier running back who offers tremendous value on the second day (Rounds 2-3) of the draft.","Good size and great feet. Former soccer player with sudden feet. Able to string together multiple moves at a time. Varies speeds as a runner and can call on second gear when he sees daylight. Hips and feet always in sync thanks to soccer background. Shows enough wiggle to make defenders miss and can create and improvise if creases aren't offering much. Runs with wide base and generates leg drive to push. Plays with bend and bursts through the hole with low pad level. Reliable yards-after-contact back. Accelerates into contact on second level. True weapon out of backfield with adequate hands and good feel for maximizing each catch in space. Twists and turns and fights to fall forward. Asked to be physical, downhill runner between tackles and he obliged. Shows good blitz recognition. Showed mental toughness and character, coming back from deep in the doghouse for October 2011 arrest.",Gets too cute at times looking to sift laterally from gap to gap as he approaches line of scrimmage. Needs to run with more urgency to perimeter. Can get out-flanked when opportunity to turn corner was previously available. Average feel through the hole. Runs into defenders he should be able to avoid. Heavy workload in 2014 with 398 total touches (28.4 per game). Ball-security concerns with 11 fumbles over last 597 carries. Pass-protection technique needs improvement. Tore his ACL in 2011. Was arrested for stealing sweatpants in 2011 and faced long road of severe punishment from then-coach Chris Petersen.,BOISE STATE,141,RB,Miami Dolphins,2015
Duke Johnson,https://www.nfl.com/prospects/duke-johnson/32004a4f-4800-0009-3d52-7d0c4c49cdd8,"One of the most explosive runners in college football during his time at Miami, Johnson doesn't need much of a crease to make defenses pay. His explosive quickness and elusiveness should help him adapt quickly to NFL speed and his feel and courage as a one-cut runner should earn him instant playing time. Johnson's lack of protection skills and his injury concerns could force him into a committee situation.","Explosive burst and plays with suddenness. Elusive in tight quarters. Has lightning in his feet. Has hips and feet to stop and start without stalling. Rare ability on stretch plays to hit cutback lanes that other backs can't get to. Runs with patience and a well-timed burst. Has great feel as zone-scheme, one-cut runner. Changes direction without breaking stride. Courageous runner. Shows no fear when getting downhill. Strong-willed competitor with toughness. Has second gear around the corner and can erase the angles. Gets small(er) through the hole and runs behind pads. Fights through arm tackles. Regroups and balances himself after initial contact. Reads and sets up routes and adjusts to poorly thrown balls.","Average inside runner, where feel and instincts are concerned. Vision fails him at times when running between the tackles. Won't always see initial hole and will mash turbo button, hoping to power through to second level. At times unwilling to do dirty work in pass protection. Looks for cut blocks rather than squaring up and playing with technique and toughness. Tries to run to daylight once in open field rather than just finishing runs. Hampered by injuries in 2014 and broke his ankle in 2013. Medicals will be combed over. Must improve ball security after fumbling six times over last two seasons.",MIAMI,77,RB,Cleveland Browns,2015
T.J. Yeldon,https://www.nfl.com/prospects/t-j-yeldon/32005945-4c06-0186-cd0f-a93c74a0d6a6,"Instinctive, athletic running back who has the foot quickness to create for himself when lanes constrict or blocks are missed. Yeldon lacks the ball security, top-end speed and desired tackle breaking to be a full-time starter. He's a versatile, rotational back with the ability to step in and step up.","Has good size with room on his frame to add more bulk. Exceptional hips and foot quickness, using both to weave and dart through the trash between tackles. Quick, decisive reads on zone plays. Has ankle flexion to dip, one-cut and burst through second level and into the third. Creative runner showing innate feel for running lanes. Anticipates creases that are developing and makes himself skinny to squeeze through. Effortless lateral movement. Can make tacklers miss and change tackle angles in confined quarters. Above average out of backfield and after the catch. Productive when playing through pain.","Upright runner in space, opening himself and the ball up to big hits. Pad level too high at point of collision. Mediocre power for size. Doesn't push the pile and won't run through many tackles. Pass protection lacking. Throws shoulder at pass rusher rather than squaring up and taking on with good posture. Tends to bounce and juke a little too long at the second level. Must improve ball security after fumbling 10 times over 576 career carries.",ALABAMA,36,RB,Jacksonville Jaguars,2015
Cameron Artis-Payne,https://www.nfl.com/prospects/cameron-artis-payne/32004152-5438-7205-b9ec-41e76cfc932f,"Doesn't have much tread off the tires since arriving to Auburn from junior college. Has proven that he can hit the turbo button and get through creases, but lacks special traits and ability to max out carries. Artis-Payne is a tough runner but I question if he has enough athleticism to be anything more than a grinder and average backup.","Patient runner who waits for blocks to develop before attacking the hole. Will duck his head and finish a run. Short-stepper who gets to top speed quickly. Looks to keep the runs north and south. Effective spin move on second level. Good ball security. Due to stocky frame, defenders underestimate his burst around the corner and tend to take poor angles on him. Willing banger between tackles.",Patience sometimes turns into a lack of urgency with reads. Thickly built but doesn't move piles as often as expected. One note runner. Tight hips and without much wiggle in open space. Must improve in protection. Might not have enough juice to be able to threaten the edge as an NFL runner.,AUBURN,166,RB,Carolina Panthers,2015
David Cobb,https://www.nfl.com/prospects/david-cobb/3200434f-4214-1451-fb68-cb1e508304a2,"Cobb's YouTube highlights might bore you, but he's custom-made for physical running teams. He has one-cut traits and can play in a gap scheme. Adjusting his style to the speed of the NFL game might take some time, but Cobb's downhill, run-finishing style fits what running games are becoming again and he has a shot to be more than just a complementary back.","Powerful, compact runner with a low center of gravity. Efficient and decisive. Makes defenders miss with slight movement and hand usage. Won't succumb to arm tackles. Gained 54 percent of his yardage after contact from 2013-2014. Patient runner who gets the most from his runs. Has good speed in open field for a back his size. Balance is his friend. Smooth change-of-direction with little wasted motion. Gets low and finishes with leg drive. When he smells the end zone, he wants to eat.",Average improviser. Not a stop/start runner and lacks dynamic qualities. Gets yards on his plate and what he grinds for after contact. Lacks lateral quickness to bounce runs outside with consistent success in the NFL. Fumbled in four of six games in the middle of the 2014 season. Needs more commitment to pass protection. Average hands as a receiver. Needs extended runway to ramp up to top speed.,MINNESOTA,130,RB,Tennessee Titans,2015
Mike Davis,https://www.nfl.com/prospects/mike-davis/32004441-5656-7050-90fa-b554877db5f4,"Rhythm runner who is at his best when he's getting plenty of work. Davis has a surprising ability to turn on the jets and get on top of the secondary quickly for long runs, and his north-south mentality is a fit for the pros. With an ability to play on third down as well, the only thing holding Davis back is conditioning. Davis won't make too many defenders miss, so he can't afford to lose the corner speed he showed in 2013. Davis can be a very capable NFL backup with the potential to become a starter.",Compact frame with plus balance as a runner. Keeps feet moving in traffic and can pinball from defender to defender. Uses spin move effectively to avoid the hit and keep running. Will duck head and accelerate behind his pads with force to finish his runs. Downhill runner near the end zone with adequate push to grind out the extra half yard needed. Creates separation to the perimeter with quality stiff arm and showed surprising top-end speed to hit the long run in 2013. Gets adequate separation out of backfield and can convert the catch into a first down. Capable in pass protection with understanding of protections.,"Has some hip tightness, which limits his lateral movement. Won't make defender miss with wiggle or juke, and struggles to create when his track is closed. Will duck his head prematurely heading into hole at times, and briefly loses his vision and feel for the hole, often running into the backs of blockers. Showed substantially more juice as a runner in 2013. Conditioning looked off and he was sluggish to the perimeter and through the line of scrimmage in 2014. Relatively ineffective toward end of the year. The 2014 tape shows energy lacking for Davis compared to 2013.",SOUTH CAROLINA,123,RB,San Francisco 49ers,2015
