Link,Player,College,Pick,Position,Team,Year
https://www.nfl.com/prospects/melvin-gordon/3200474f-5227-5321-5a9f-5d54a292e030,Melvin Gordon,WISCONSIN,15,RB,Los Angeles Chargers,2015
https://www.nfl.com/prospects/todd-gurley/32004755-5200-0000-f496-e727c8f2225d,Todd Gurley,GEORGIA,10,RB,Los Angeles Rams,2015
https://www.nfl.com/prospects/tevin-coleman/3200434f-4c35-9050-eb7e-20c726e53f5b,Tevin Coleman,INDIANA,73,RB,Atlanta Falcons,2015
https://www.nfl.com/prospects/ameer-abdullah/32004142-4464-7726-b649-e09413abd27c,Ameer Abdullah,NEBRASKA,54,RB,Detroit Lions,2015
https://www.nfl.com/prospects/jay-ajayi/3200414a-4177-1256-2431-b2af057c0b9d,Jay Ajayi,BOISE STATE,141,RB,Miami Dolphins,2015
https://www.nfl.com/prospects/duke-johnson/32004a4f-4800-0009-3d52-7d0c4c49cdd8,Duke Johnson,MIAMI,77,RB,Cleveland Browns,2015
https://www.nfl.com/prospects/t-j-yeldon/32005945-4c06-0186-cd0f-a93c74a0d6a6,T.J. Yeldon,ALABAMA,36,RB,Jacksonville Jaguars,2015
https://www.nfl.com/prospects/cameron-artis-payne/32004152-5438-7205-b9ec-41e76cfc932f,Cameron Artis-Payne,AUBURN,166,RB,Carolina Panthers,2015
https://www.nfl.com/prospects/david-cobb/3200434f-4214-1451-fb68-cb1e508304a2,David Cobb,MINNESOTA,130,RB,Tennessee Titans,2015
https://www.nfl.com/prospects/mike-davis/32004441-5656-7050-90fa-b554877db5f4,Mike Davis,SOUTH CAROLINA,123,RB,San Francisco 49ers,2015
https://www.nfl.com/prospects/javorius-allen/3200414c-4c46-9092-5c78-2e9c81c3e122,Javorius Allen,USC,122,RB,Baltimore Ravens,2015
https://www.nfl.com/prospects/david-johnson/32004a4f-4817-4477-4e5f-db6fb5a95abe,David Johnson,NORTHERN IOWA,86,RB,Arizona Cardinals,2015
https://www.nfl.com/prospects/matt-jones/32004a4f-4e60-3219-485e-36655170f13d,Matt Jones,FLORIDA,95,RB,Washington Commanders,2015
https://www.nfl.com/prospects/jeremy-langford/32004c41-4e55-0009-7df2-5868ebab3d73,Jeremy Langford,MICHIGAN STATE,103,RB,Chicago Bears,2015
https://www.nfl.com/prospects/marcus-murphy/32004d55-5251-7528-c408-6a8d935ecd3b,Marcus Murphy,MISSOURI,205,RB,New Orleans Saints,2015
https://www.nfl.com/prospects/karlos-williams/32005749-4c39-8250-3203-7c4584bc633d,Karlos Williams,FLORIDA STATE,147,RB,Buffalo Bills,2015
https://www.nfl.com/prospects/josh-robinson/3200524f-4259-0769-ff79-05ec4b6720ae,Josh Robinson,MISSISSIPPI STATE,189,RB,Indianapolis Colts,2015
https://www.nfl.com/prospects/kenny-hilliard/32004849-4c71-9831-c364-d5ae91d8774f,Kenny Hilliard,LSU,210,RB,Houston Texans,2015
https://www.nfl.com/prospects/joey-iosefa/3200494f-5317-7981-243b-b3fe47c0d5d1,Joey Iosefa,HAWAII,206,RB,Tampa Bay Buccaneers,2015
https://www.nfl.com/prospects/ezekiel-elliott/3200454c-4c28-9284-cdcc-74694c8d1749,Ezekiel Elliott,OHIO STATE,4,RB,Dallas Cowboys,2016
https://www.nfl.com/prospects/derrick-henry/32004845-4e60-2843-9b64-3cd8fac319c3,Derrick Henry,ALABAMA,46,RB,Tennessee Titans,2016
https://www.nfl.com/prospects/jordan-howard/3200484f-5723-9418-9826-088b7176f34d,Jordan Howard,INDIANA,139,RB,Chicago Bears,2016
https://www.nfl.com/prospects/devontae-booker/3200424f-4f01-9902-c146-57fda0468e8d,Devontae Booker,UTAH,134,RB,Denver Broncos,2016
https://www.nfl.com/prospects/alex-collins/3200434f-4c47-9374-2540-96fa3f4d7768,Alex Collins,ARKANSAS,160,RB,Seattle Seahawks,2016
https://www.nfl.com/prospects/kenneth-dixon/32004449-5844-0855-fbe7-7426a38c0ffc,Kenneth Dixon,LOUISIANA TECH,132,RB,Baltimore Ravens,2016
https://www.nfl.com/prospects/paul-perkins/32005045-5222-7681-78c6-eac7d46b0bc6,Paul Perkins,UCLA,138,RB,New York Giants,2016
https://www.nfl.com/prospects/c-j-prosise/32005052-4f49-4028-a668-879fa0d6643e,C.J. Prosise,NOTRE DAME,91,RB,Seattle Seahawks,2016
https://www.nfl.com/prospects/jonathan-williams/32005749-4c38-4555-6a9c-d6163c44fa20,Jonathan Williams,ARKANSAS,145,RB,Buffalo Bills,2016
https://www.nfl.com/prospects/kenyan-drake/32004452-4128-0410-f1a5-770c8d09e9d7,Kenyan Drake,ALABAMA,74,RB,Miami Dolphins,2016
https://www.nfl.com/prospects/kelvin-taylor/32005441-5946-7820-5e1f-3c56d984a761,Kelvin Taylor,FLORIDA,196,RB,San Francisco 49ers,2016
https://www.nfl.com/prospects/keith-marshall/32004d41-5242-9932-6591-d4257e052794,Keith Marshall,GEORGIA,213,RB,Washington Commanders,2016
https://www.nfl.com/prospects/tyler-ervin/32004552-5628-6234-1c45-769c30ad612c,Tyler Ervin,SAN JOSE STATE,117,RB,Houston Texans,2016
https://www.nfl.com/prospects/wendell-smallwood/3200534d-4175-7345-1798-ca2c5a6fb11a,Wendell Smallwood,WEST VIRGINIA,142,RB,Philadelphia Eagles,2016
https://www.nfl.com/prospects/dwayne-washington/32005741-5323-1679-ae1c-92a750c047c4,Dwayne Washington,WASHINGTON,207,RB,Detroit Lions,2016
https://www.nfl.com/prospects/daniel-lasco/32004c41-5307-6669-f088-9a95323a5fc9,Daniel Lasco,CALIFORNIA,208,RB,New Orleans Saints,2016
https://www.nfl.com/prospects/zac-brooks/32004252-4f18-6507-81f2-3066dc355ee9,Zac Brooks,CLEMSON,218,RB,Seattle Seahawks,2016
https://www.nfl.com/prospects/darius-jackson/32004a41-4312-0072-16d9-08cdf91175a1,Darius Jackson,EASTERN MICHIGAN,201,RB,Dallas Cowboys,2016
https://www.nfl.com/prospects/keenan-reynolds/32005245-5940-6954-ff5d-334e27e0f187,Keenan Reynolds,NAVY,167,RB,Baltimore Ravens,2016
https://www.nfl.com/prospects/deandre-washington/32005741-5300-0000-c099-0198d3a23e0a,DeAndre Washington,TEXAS TECH,132,RB,Las Vegas Raiders,2016
https://www.nfl.com/prospects/leonard-fournette/3200464f-5556-4970-e13e-15f65e552496,Leonard Fournette,LSU,4,RB,Jacksonville Jaguars,2017
https://www.nfl.com/prospects/dalvin-cook/3200434f-4f04-7079-ca3d-32c8b4ce8a9a,Dalvin Cook,FLORIDA STATE,41,RB,Minnesota Vikings,2017
https://www.nfl.com/prospects/alvin-kamara/32004b41-4d24-4058-5a3b-01bd39e6a25d,Alvin Kamara,TENNESSEE,67,RB,New Orleans Saints,2017
https://www.nfl.com/prospects/christian-mccaffrey/32004d43-4303-5988-790d-0077d6a4692b,Christian McCaffrey,STANFORD,8,RB,Carolina Panthers,2017
https://www.nfl.com/prospects/joe-mixon/32004d49-5856-4388-c611-05b6fcff1d1d,Joe Mixon,OKLAHOMA,48,RB,Cincinnati Bengals,2017
https://www.nfl.com/prospects/d-onta-foreman/3200464f-5239-2618-71de-9b22c3939617,D'Onta Foreman,TEXAS,89,RB,Houston Texans,2017
https://www.nfl.com/prospects/kareem-hunt/32004855-4e30-8934-bd0d-d8d3d09b6aac,Kareem Hunt,TOLEDO,86,RB,Kansas City Chiefs,2017
https://www.nfl.com/prospects/marlon-mack/32004d41-4333-8783-1057-4314041567c5,Marlon Mack,UNIVERSITY OF SOUTH FLORIDA,132,RB,Indianapolis Colts,2017
https://www.nfl.com/prospects/jeremy-mcnichols/32004d43-4e75-0971-c818-00cfc1798991,Jeremy McNichols,BOISE STATE,146,RB,Tampa Bay Buccaneers,2017
https://www.nfl.com/prospects/samaje-perine/32005045-5209-5343-a8b2-b2085b20ed79,Samaje Perine,OKLAHOMA,103,RB,Washington Commanders,2017
https://www.nfl.com/prospects/tarik-cohen/3200434f-4842-7642-223a-04d61d35fb5c,Tarik Cohen,NORTH CAROLINA A&T,108,RB,Chicago Bears,2017
https://www.nfl.com/prospects/james-conner/3200434f-4e46-1999-59e9-253cedeec3a5,James Conner,PITTSBURGH,105,RB,Pittsburgh Steelers,2017
https://www.nfl.com/prospects/matt-dayes/32004441-5950-6590-6ff5-89131825b5f2,Matt Dayes,N.C. STATE,226,RB,Cleveland Browns,2017
