Link,Player,College,Pick,Position,Team,Year
https://www.nfl.com/prospects/adrian-arrington/32004152-5216-2645-379f-c90777b5e7a5,Adrian Arrington,MICHIGAN,222,WR,New Orleans Saints,2008
https://www.nfl.com/prospects/donnie-avery/32004156-4542-2211-6539-25d09c01bf90,Donnie Avery,HOUSTON,34,WR,Los Angeles Rams,2008
https://www.nfl.com/prospects/earl-bennett/32004245-4e32-7033-b10f-97dee35aad6a,Earl Bennett,VANDERBILT,71,WR,Chicago Bears,2008
https://www.nfl.com/prospects/keenan-burton/32004255-5276-9332-ba57-a8dc7cc5abae,Keenan Burton,KENTUCKY,125,WR,Los Angeles Rams,2008
https://www.nfl.com/prospects/andre-caldwell/32004341-4c10-2494-8a2e-c7ae6709e059,Andre Caldwell,FLORIDA,98,WR,Cincinnati Bengals,2008
https://www.nfl.com/prospects/early-doucet/3200444f-5505-1723-b16e-978f73292af6,Early Doucet,LSU,82,WR,Arizona Cardinals,2008
https://www.nfl.com/prospects/harry-douglas/3200444f-5537-2712-469b-b8a53cbbac81,Harry Douglas,LOUISVILLE,85,WR,Atlanta Falcons,2008
https://www.nfl.com/prospects/will-franklin/32004652-4154-8035-524f-cec12e1fc43a,Will Franklin,MISSOURI,102,WR,Kansas City Chiefs,2008
https://www.nfl.com/prospects/pierre-garcon/32004741-5211-5573-1332-2787673651cd,Pierre Garcon,MOUNT UNION COLLEGE,199,WR,Indianapolis Colts,2008
https://www.nfl.com/prospects/james-hardy/32004841-5210-8650-e0d5-22128329712c,James Hardy,INDIANA,42,WR,Buffalo Bills,2008
https://www.nfl.com/prospects/justin-harper/32004841-5226-7861-c1e4-c92309c5bfe6,Justin Harper,VIRGINIA TECH,200,WR,Baltimore Ravens,2008
https://www.nfl.com/prospects/lavelle-hawkins/32004841-5744-2308-e04d-95f8d0f9fdb3,Lavelle Hawkins,CALIFORNIA,123,WR,Tennessee Titans,2008
